(24, 34, 182, 278) (19, 25, 405, 315) 13661
(16, 21, 530, 274) (14, 24, 422, 298) 7169
(26, 55, 522, 274) (14, 19, 413, 291) 16208
(60, 32, 352, 287) (67, 33, 249, 288) 41596
(14, 25, 543, 290) (16, 32, 429, 277) 7206
(55, 22, 168, 326) (13, 23, 420, 276) 26269
(21, 23, 299, 234) (24, 26, 285, 265) 8711
(60, 56, 352, 263) (67, 56, 249, 265) 66420
(21, 27, 383, 263) (24, 27, 194, 228) 10685

( 0,  3,  6) -> ( 0,  4,  6)
(19, 24, 375, 349) (18, 24, 366, 348) 9267
(33, 15, 61, 338) (41, 17, 29, 336) 12209
(35, 17, 41, 337) (28, 19, 39, 196) 33753
(20, 15, 185, 329) (19, 14, 171, 328) 5965
(62, 35, 341, 288) (62, 31, 331, 288) 44030
(18, 27, 519, 275) (22, 16, 499, 308) 9095
(16, 23, 531, 271) (20, 35, 517, 278) 9280
(28, 41, 519, 271) (14, 25, 523, 278) 7270
(21, 26, 372, 265) (20, 26, 364, 264) 11512
(62, 58, 341, 265) (62, 55, 331, 264) 46655
(21, 24, 288, 234) (20, 21, 279, 236) 8634
(60, 134, 43, 207) (61, 140, 25, 199) 167035
(62, 147, 41, 207) (61, 157, 25, 196) 146203

( 0,  3,  6) -> ( 0,  5,  6)
(19, 24, 375, 349) (21, 35, 504, 282) 22556
(33, 15, 61, 338) (22, 14, 11, 338) 5796
(35, 17, 41, 337) (52, 35, 4, 317) 36877
(20, 15, 185, 329) (19, 14, 151, 330) 4695
(62, 35, 341, 288) (62, 34, 320, 289) 30627
(18, 27, 519, 275) (22, 20, 487, 307) 12079
(16, 23, 531, 271) (38, 55, 487, 272) 22631
(28, 41, 519, 271) (16, 17, 497, 275) 11502
(21, 26, 372, 265) (22, 24, 352, 268) 7690
(62, 58, 341, 265) (62, 55, 320, 268) 43710
(21, 24, 288, 234) (24, 22, 265, 237) 9779
(60, 134, 43, 207) (29, 22, 11, 319) 167602
(62, 147, 41, 207) (19, 22, 355, 349) 206905

( 0,  3,  6) -> ( 0,  6,  6)
(62, 147, 41, 207) (17, 16, 258, 387) 176872
(19, 24, 375, 349) (21, 20, 342, 349) 7626
(33, 15, 61, 338) (20, 15, 9, 339) 7427
(20, 15, 185, 329) (21, 14, 134, 330) 7444
(16, 23, 531, 271) (19, 19, 474, 308) 5841
(28, 41, 519, 271) (19, 18, 490, 289) 9364
