(23, 27, 601, 268) (20, 24, 617, 274) 12279
(13, 26, 600, 294) (15, 19, 617, 267) 6663
(24, 29, 411, 262) (28, 30, 414, 262) 15301
(71, 60, 374, 262) (72, 64, 378, 261) 46786
(24, 28, 317, 226) (24, 29, 317, 225) 12199

( 5,  0,  6) -> ( 7,  0,  6)
(21, 24, 414, 355) (22, 28, 422, 364) 12991
(37, 15, 83, 351) (20, 22, 37, 363) 7171
(25, 17, 56, 350) (34, 27, 349, 315) 30311
(22, 16, 216, 337) (24, 18, 208, 346) 6893
(20, 13, 344, 321) (21, 14, 349, 328) 5460
(21, 14, 581, 316) (28, 20, 602, 315) 7521
(14, 20, 593, 309) (22, 19, 179, 310) 11536
(13, 26, 600, 294) (18, 19, 179, 310) 11343
(17, 18, 605, 287) (21, 23, 610, 295) 6552
(71, 35, 374, 287) (74, 39, 380, 290) 34861
(19, 19, 589, 277) (22, 15, 610, 288) 5361
(24, 29, 411, 262) (25, 31, 419, 263) 7681
(71, 60, 374, 262) (74, 73, 380, 263) 76267
(24, 28, 317, 226) (25, 30, 318, 225) 6074

( 5,  0,  6) -> ( 8,  0,  6)
(21, 24, 414, 355) (23, 35, 422, 366) 10975
(37, 15, 83, 351) (33, 29, 348, 317) 37397
(25, 17, 56, 350) (36, 23, 157, 348) 18872
(22, 16, 216, 337) (26, 18, 200, 351) 5629
(20, 13, 344, 321) (21, 13, 348, 333) 5394
(21, 14, 581, 316) (58, 84, 151, 287) 58016
(14, 20, 593, 309) (53, 68, 151, 287) 42360
(13, 26, 600, 294) (18, 15, 622, 304) 6621
(17, 18, 605, 287) (18, 21, 321, 418) 15138
(71, 35, 374, 287) (75, 41, 382, 293) 36842
(19, 19, 589, 277) (20, 28, 321, 413) 23442
(23, 27, 601, 268) (28, 24, 612, 318) 13108
(24, 29, 411, 262) (27, 31, 420, 265) 10347
(71, 60, 374, 262) (75, 74, 382, 265) 86922
(24, 28, 317, 226) (26, 31, 316, 225) 9743

( 5,  0,  6) -> ( 9,  0,  6)
(21, 24, 414, 355) (23, 33, 430, 372) 12769
(37, 15, 83, 351) (20, 13, 168, 307) 13780
(25, 17, 56, 350) (16, 17, 0, 380) 4388
(22, 16, 216, 337) (27, 18, 198, 358) 4791
(20, 13, 344, 321) (35, 28, 353, 322) 28796
(21, 14, 581, 316) (18, 17, 169, 295) 8842
(14, 20, 593, 309) (20, 15, 171, 336) 9310
(13, 26, 600, 294) (31, 77, 165, 295) 35102
(17, 18, 605, 287) (23, 26, 172, 315) 13230
(71, 35, 374, 287) (78, 41, 387, 295) 45332
(19, 19, 589, 277) (16, 16, 196, 319) 7087
(23, 27, 601, 268) (17, 22, 168, 346) 12981
(24, 29, 411, 262) (30, 31, 427, 267) 12934
(71, 60, 374, 262) (78, 69, 387, 267) 52759
(24, 28, 317, 226) (28, 33, 319, 224) 9868

( 6,  0,  6) -> ( 7,  0,  6)
(18, 22, 322, 401) (21, 14, 349, 328) 13435
(21, 23, 417, 360) (22, 28, 422, 364) 13230
(17, 18, 38, 356) (20, 22, 37, 363) 4102
(23, 17, 212, 341) (24, 18, 208, 346) 8322
(14, 30, 187, 327) (22, 19, 179, 310) 9788
(18, 17, 593, 314) (28, 20, 602, 315) 4373
(18, 15, 600, 296) (21, 23, 610, 295) 4395
(72, 36, 378, 289) (74, 39, 380, 290) 34709
(19, 26, 601, 277) (22, 15, 610, 288) 6693
(20, 24, 617, 274) (34, 27, 349, 315) 30760
(15, 19, 617, 267) (18, 19, 179, 310) 10334
(28, 30, 414, 262) (25, 31, 419, 263) 17964
(72, 64, 378, 261) (74, 73, 380, 263) 97626
(24, 29, 317, 225) (25, 30, 318, 225) 9135

( 6,  0,  6) -> ( 8,  0,  6)
(18, 22, 322, 401) (20, 28, 321, 413) 11347
(21, 23, 417, 360) (23, 35, 422, 366) 9929
(17, 18, 38, 356) (33, 29, 348, 317) 33348
(23, 17, 212, 341) (26, 18, 200, 351) 7625
(14, 30, 187, 327) (53, 68, 151, 287) 32058
(34, 16, 347, 322) (18, 21, 321, 418) 18125
(18, 17, 593, 314) (36, 23, 157, 348) 13631
(18, 15, 600, 296) (21, 13, 348, 333) 13921
(72, 36, 378, 289) (75, 41, 382, 293) 31498
(19, 26, 601, 277) (18, 15, 622, 304) 8751
(20, 24, 617, 274) (28, 24, 612, 318) 9801
